Mixed_Flock,Localidade,Latitude,Longitude,Fitofisionomia,Ecoregion,Temp,Prec,Alt,npp,evapo,Located,Edge
208,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
209,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
210,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
211,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
212,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
213,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
214,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
216,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
217,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
219,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
220,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
221,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
222,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
223,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
224,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
225,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
226,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
227,Tuneiras,-23.879006,-52.805703,seasonal_forest,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,interior,0
90,Tres_Lagoas,-20.919135,-52.22987,cerrado,Cerrado,239,1251,333,0.762000024,90.59819794,interior,0
91,Tres_Lagoas,-20.919135,-52.22987,cerrado,Cerrado,239,1251,333,0.762000024,90.59819794,edge,1
92,Tres_Lagoas,-20.919135,-52.22987,cerrado,Cerrado,239,1251,333,0.762000024,90.59819794,edge,1
93,Tres_Lagoas,-20.919135,-52.22987,cerrado,Cerrado,239,1251,333,0.762000024,90.59819794,edge,1
94,Tres_Lagoas,-20.919135,-52.22987,cerrado,Cerrado,239,1251,333,0.762000024,90.59819794,edge,1
95,Tres_Lagoas,-20.919135,-52.22987,cerrado,Cerrado,239,1251,333,0.762000024,90.59819794,interior,0
96,Tres_Lagoas,-20.919135,-52.22987,galeria_ciliar,Cerrado,239,1251,333,0.762000024,90.59819794,edge,1
97,Tres_Lagoas,-20.919135,-52.22987,cerrado,Cerrado,239,1251,333,0.762000024,90.59819794,interior,0
98,Tres_Lagoas,-20.919135,-52.22987,cerrado,Cerrado,239,1251,333,0.762000024,90.59819794,edge,1
102,Tres_Lagoas,-20.919135,-52.22987,galeria_ciliar,Cerrado,239,1251,333,0.762000024,90.59819794,edge,1
100,Tres_Lagoas,-20.919135,-52.22987,cerradao,Cerrado,239,1251,333,0.762000024,90.59819794,interior,0
236,Teodoro,-22.605267,-52.200109,cerradao,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,edge,1
237,Teodoro,-22.605267,-52.200109,seasonal_forest,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,interior,0
238,Teodoro,-22.605267,-52.200109,seasonal_forest,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,interior,0
239,Teodoro,-22.605267,-52.200109,seasonal_forest,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,interior,0
240,Teodoro,-22.605267,-52.200109,seasonal_forest,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,interior,0
241,Teodoro,-22.605267,-52.200109,seasonal_forest,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,interior,0
242,Teodoro,-22.605267,-52.200109,seasonal_forest,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,interior,0
246,Teodoro,-22.605267,-52.200109,seasonal_forest,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,interior,0
247,Teodoro,-22.605267,-52.200109,seasonal_forest,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,interior,0
248,Teodoro,-22.605267,-52.200109,galeria_ciliar,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,edge,1
249,Teodoro,-22.605267,-52.200109,galeria_ciliar,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,edge,1
250,Teodoro,-22.605267,-52.200109,galeria_ciliar,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,edge,1
251,Teodoro,-22.605267,-52.200109,galeria_ciliar,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,edge,1
252,Teodoro,-22.605267,-52.200109,galeria_ciliar,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,edge,1
245,Teodoro,-22.605267,-52.200109,cerradao,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,interior,0
184,Sidrolandia,-20.772251,-54.833822,seasonal_forest,Cerrado,240,1413,340,0.388999999,94.78320313,interior,0
185,Sidrolandia,-20.772251,-54.833822,galeria_ciliar,Cerrado,240,1413,340,0.388999999,94.78320313,interior,0
189,Sidrolandia,-20.772251,-54.833822,seasonal_forest,Cerrado,240,1413,340,0.388999999,94.78320313,interior,0
190,Sidrolandia,-20.772251,-54.833822,galeria_ciliar,Cerrado,240,1413,340,0.388999999,94.78320313,interior,0
191,Sidrolandia,-20.772251,-54.833822,galeria_ciliar,Cerrado,240,1413,340,0.388999999,94.78320313,interior,0
193,Sidrolandia,-20.772251,-54.833822,seasonal_forest,Cerrado,240,1413,340,0.388999999,94.78320313,edge,1
194,Sidrolandia,-20.772251,-54.833822,galeria_ciliar,Cerrado,240,1413,340,0.388999999,94.78320313,edge,1
183,Sidrolandia,-20.772251,-54.833822,cerradao,Cerrado,240,1413,340,0.388999999,94.78320313,edge,1
188,Sidrolandia,-20.772251,-54.833822,cerradao,Cerrado,240,1413,340,0.388999999,94.78320313,interior,0
186,Sidrolandia,-20.772251,-54.833822,cerradao,Cerrado,240,1413,340,0.388999999,94.78320313,interior,0
187,Sidrolandia,-20.772251,-54.833822,cerradao,Cerrado,240,1413,340,0.388999999,94.78320313,interior,0
253,Presidente,-21.638837,-51.884671,seasonal_forest,Alto_Parana_Atlantic_Forest,230,1139,290,0.832000017,86.51480103,interior,0
254,Presidente,-21.638837,-51.884671,seasonal_forest,Alto_Parana_Atlantic_Forest,230,1139,290,0.832000017,86.51480103,edge,1
255,Presidente,-21.638837,-51.884671,seasonal_forest,Alto_Parana_Atlantic_Forest,230,1139,290,0.832000017,86.51480103,edge,1
256,Presidente,-21.638837,-51.884671,seasonal_forest,Alto_Parana_Atlantic_Forest,230,1139,290,0.832000017,86.51480103,edge,1
257,Presidente,-21.638837,-51.884671,seasonal_forest,Alto_Parana_Atlantic_Forest,230,1139,290,0.832000017,86.51480103,edge,1
258,Presidente,-21.638837,-51.884671,seasonal_forest,Alto_Parana_Atlantic_Forest,230,1139,290,0.832000017,86.51480103,interior,0
259,Presidente,-21.638837,-51.884671,galeria_ciliar,Alto_Parana_Atlantic_Forest,230,1139,290,0.832000017,86.51480103,edge,1
260,Presidente,-21.638837,-51.884671,galeria_ciliar,Alto_Parana_Atlantic_Forest,230,1139,290,0.832000017,86.51480103,edge,1
51,Porto_Murtinho,-21.48556,-57.890818,seasonal_forest,Pantanal,252,1207,85,0.551999986,93.40229797,interior,0
52,Porto_Murtinho,-21.48556,-57.890818,seasonal_forest,Pantanal,252,1207,85,0.551999986,93.40229797,interior,0
53,Porto_Murtinho,-21.48556,-57.890818,seasonal_forest,Pantanal,252,1207,85,0.551999986,93.40229797,interior,0
54,Porto_Murtinho,-21.48556,-57.890818,chaco,Pantanal,252,1207,85,0.551999986,93.40229797,interior,0
55,Porto_Murtinho,-21.48556,-57.890818,chaco,Pantanal,252,1207,85,0.551999986,93.40229797,interior,0
56,Porto_Murtinho,-21.48556,-57.890818,chaco,Pantanal,252,1207,85,0.551999986,93.40229797,interior,0
57,Porto_Murtinho,-21.48556,-57.890818,chaco,Pantanal,252,1207,85,0.551999986,93.40229797,interior,0
58,Porto_Murtinho,-21.48556,-57.890818,chaco,Pantanal,252,1207,85,0.551999986,93.40229797,interior,0
59,Porto_Murtinho,-21.48556,-57.890818,chaco,Pantanal,252,1207,85,0.551999986,93.40229797,interior,0
60,Porto_Murtinho,-21.48556,-57.890818,flooded_forest,Pantanal,252,1207,85,0.551999986,93.40229797,edge,1
61,Porto_Murtinho,-21.48556,-57.890818,flooded_forest,Pantanal,252,1207,85,0.551999986,93.40229797,edge,1
63,Porto_Murtinho,-21.48556,-57.890818,seasonal_forest,Pantanal,252,1207,85,0.551999986,93.40229797,edge,1
289,Novo_Horizonte,-22.555798,-53.886429,seasonal_forest,Alto_Parana_Atlantic_Forest,229,1517,339,0.81400001,96.66449738,interior,0
290,Novo_Horizonte,-22.555798,-53.886429,seasonal_forest,Alto_Parana_Atlantic_Forest,229,1517,339,0.81400001,96.66449738,interior,0
