Localidade,Latitude,Longitude,Ecoregion,Temp,Prec,Alt,npp,evapo,Edge,Fitofisionomia
Tuneiras,-23.879006,-52.805703,Alto_Parana_Atlantic_Forest,206,1428,513,0.963,79.7385025,0,seasonal_forest
Tres_Lagoas,-20.919135,-52.22987,Cerrado,239,1251,333,0.762000024,90.59819794,1,cerrado
Teodoro,-22.605267,-52.200109,Alto_Parana_Atlantic_Forest,223,1195,332,0.684000015,89.35250092,0,seasonal_forest
Sidrolandia,-20.772251,-54.833822,Cerrado,240,1413,340,0.388999999,94.78320313,0,cerradao
Presidente,-21.638837,-51.884671,Alto_Parana_Atlantic_Forest,230,1139,290,0.832000017,86.51480103,1,seasonal_forest
Porto_Murtinho,-21.48556,-57.890818,Pantanal,252,1207,85,0.551999986,93.40229797,0,chaco
Novo_Horizonte,-22.555798,-53.886429,Alto_Parana_Atlantic_Forest,229,1517,339,0.81400001,96.66449738,1,seasonal_forest
Nova_Andradinha,-22.052344,-53.392412,Cerrado,229,1392,382,0.81400001,87.78119659,1,cerrado
Nova_Alvorada,-21.412833,-54.42531,Cerrado,234,1436,421,0.5,98.30729675,1,cerradao
Navirai,-22.84058,-53.556336,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,1,flooded_forest
Miranda,-20.5,-56.18,Cerrado,244,1381,165,0.654999971,103.0355988,0,cerradao
Maracaju,-21.870718,-55.399635,Cerrado,229,1410,448,0.456999987,93.98770142,0,cerradao
Laguna_Caraapa,-22.855698,-55.006904,Alto_Parana_Atlantic_Forest,226,1552,376,0.448000014,91.72530365,0,seasonal_forest
Jardim,-21.43,-56.43,Cerrado,237,1363,294,0.755999982,102.8632965,1,galeria_ciliar
Iguatemi,-23.558759,-54.643542,Cerrado,219,1581,346,0.541999996,93.70300293,1,seasonal_forest
Eldorado,-23.752443,-54.109198,Alto_Parana_Atlantic_Forest,218,1471,256,0.541999996,86.9992981,1,seasonal_forest
Diamante,-22.605947,-52.882494,Alto_Parana_Atlantic_Forest,226,1239,299,0.684000015,87.98269653,0,galeria_ciliar
Corumba,-19.17,-57.62,Chiquitano_dry_forest,246,1120,331,0.513000011,84.0644989,0,seasonal_forest
Coronel_Sapucaia,-23.362923,-55.212445,Cerrado,219,1588,407,0.50999999,90.56829834,1,cerradao
Casa_Verde,-21.612264,-53.30533,Cerrado,235,1341,339,0.782999992,87.70420074,0,cerradao
Caracol,-22.20662,-57.304149,Cerrado,243,1355,132,0.589999974,101.3013,0,chaco
Campo_Grande,-20.495406,-54.495271,Cerrado,232,1460,589,0.388999999,93.61170197,0,cerrado
Caiman,-19.93,-56.32,Pantanal,251,1345,117,0.677999973,103.8992004,0,flooded_forest
Bonito2,-20.884562,-56.56821,Cerrado,229,1361,483,0.654999971,99.68019867,0,seasonal_forest
Bonito,-21.08,-56.73,Cerrado,224,1353,601,0.755999982,89.2582016,0,galeria_ciliar
Bela_Vista,-22.07,-56.55,Cerrado,237,1390,222,0.799000025,103.0920029,0,cerradao
Aquidauana,-20.452928,-55.497212,Cerrado,242,1434,232,0.35800001,103.138298,0,galeria_ciliar
Albuquerque,-19.38,-57.4,Chiquitano_dry_forest,257,1137,114,0.513000011,86.86019897,1,flooded_forest
Abobral,-19.48,-56.92,Pantanal,257,1220,92,0.677999973,92.86750031,1,flooded_forest
