Species,wings,rectrizes,tarsus,beak_volume,BodyMass.Value,Dossel,Inset-Plant
Columbina_squammata,92.6,79,19.93,3.828502415,52.9,0,0.2
Piaya_cayana,154.14,340.3333333,41.07333333,2.358103975,101.98,0.9,1
Trogon_curucui,121.65,136.59,11.415,1.846770391,54,0.5,0.8
Trogon_surrucura,130.635,132.775,12.43,1.844001897,73.29,0.7,0.8
Trogon_chrysochloros,120.42,156,11.075,1.864067966,53.8,0.4,0.6
Baryphthengus_ruficapillus,143.375,213,29.86,2.985693848,141.65,0.3,0.8
Momotus_momota,140,243,27.06,3.163575668,114.96,0.5,0.5
Galbula_ruficauda,76.905,91.66,12.44,8.148093842,26.5,0.5,1
Nystalus_maculatus,82.58795767,74.46223457,21.85723457,2.804388591,42,0.5,1
Nystalus_chacuru,76.38,74.53,19.045,2.388973966,52.3,0.5,1
Nonnula_rubecula,63.02,74.87,10.17,2.891428571,18.4,0.2,1
Pteroglossus_castanotis,140,126,33.41,2.760013463,258.09,0.7,0.1
Selenidera_maculirostris,133.83,112.91,37.6,2.497706422,164,0.6,0.2
Picumnus_cirratus,53.58,40,11,2.659863946,10.2,0.5,1
Picumnus_temminckii,53.7,39,11.67,2.610766046,11.5,0.4,1
Picumnus_albosquamatus,50.355,34.59,12.4,2.580152672,11.9,0.6,1
Veniliornis_passerinus,87.935,56.495,17.62,2.714103382,32.1,0.5,1
Veniliornis_spilogaster,93.2,61.06,16.11,3.173669468,40.3,0.5,0.8
Veniliornis_mixtus,85.75,57.23,16.32,3.318541997,28.74,0.5,0.5
Piculus_chrysochloros,118,77,18.87,3.770014556,88,0.8,1
Colaptes_melanochloros,123.755,93.7,22.625,3.345977011,127.27,0.5,0.8
Melanerpes_flavifrons,115.72,76.915,18.075,3.243902439,57.78,0.5,0.3
Celeus_flavescens,150,105.45,23.47,2.907964602,139,0.5,0.7
Celeus_lugubris,143.83,99,26.34,3.424242424,137,0.7,1
Dryocopus_lineatus,187.5,129.355,25.595,3.411603472,183.19,0.5,0.8
Campephilus_melanoleucos,174.5,127.5,32.63,3.231811698,256,0.7,0.8
Sittasomus_griseicapillus,73.235,85.765,15.905,3.41607565,13.12,0.8,1
Lepidocolaptes_falcinellus,93.3,90.45,19.45,5.129471891,27.92,0.8,1
Lepidocolaptes_angustirostris,91.755,91.5,18.95,4.936217009,29.59,0.5,1
Campylorhamphus_trochilirostris,108.56,85,20,11.76470588,40.8,0.4,1
Xiphorhynchus_guttatus,107.36,104,21.7,4.627539503,59.69,0.7,0.8
Xiphorhynchus_fuscus,72.07,82,16.5,4.837545126,21.8,0.5,1
Xiphocolaptes_major,138.6,120.5,36.8,4.294567712,156,0.5,1
Dendrocolaptes_picumnus,124.3,120,26,3.808880309,76.6,0.3,0.8
Dendrocolaptes_platyrostris,124.455,131.11,26.2,3.853910477,61.7,0.2,0.8
Furnarius_rufus,91.25,64.35,24.16,5.745916515,46.42,0.1,0.8
Furnarius_leucopus,88,60.5,23.7,4.363636364,54.8,0,1
Cranioleuca_vulpina,67.35,67.5,15.6,3.322799097,15.7,0.5,1
Synallaxis_frontalis,51,86.18,20.7,2.814,14,0.2,1
Synallaxis_scutata,56,72.3,15.5,2.995934959,15.4,0,1
Synallaxis_spixi,48.8,97,19.21,3.292428198,12.6,0.4,1
Synallaxis_hypospodia,55,82.3,16.3,2.882352941,16.9,0.3,1
Synallaxis_cinerascens,57,72.06,17.5,3.562162162,13.1,0.2,1
Synallaxis_ruficapilla,56.5,73.22,21.4,3.40990991,13.8,0.3,1
Synallaxis_albilora,67.11,73.4,21.1,3.47826087,14.86,0.2,1
Phacellodomus_ruber,73.4,89.5,19.7,2.910447761,41,0.2,1
Phacellodomus_rufifrons,60.3,74.5,18,2.5,24.6,0.2,1
Anabacerthia_lichtensteini,78.6,85.5,20.5,2.166666667,21,0.8,1
Dendroma_rufa,82.58795767,74.46223457,21.85723457,2.804388591,25,0.8,1
Xenops_rutilans,63.75,58.5,12.9,2.576785714,11.2,0.6,1
Hylocryptus_rectirostris,92.15,92.4,24.3,3.597402597,48,0,1
Chamaeza_campanisona,95.83,71.23,31,2.638450502,90.58,0.1,0.7
Conopophaga_lineata,63.6,43,25.2,2.735042735,25.21,0.1,1
Taraba_major,87.285,81.65,29.85,2.171495693,59.2,0.3,0.9
Hypoedaleus_guttatus,78.75,94.2,28.4,2.208695652,38.8,0.7,1
Mackenziaena_severa,90.6,119.33,39.25,2.809468822,51.8,0.3,1
Thamnophilus_caerulescens,67.944,65.734,24.574,2.822229662,21.1,0.5,0.8
Thamnophilus_pelzelni,66.35,65.25,23,2.384615385,20.9,0.6,1
Thamnophilus_sticturus,66.25,55.6,23.7,2.677177177,18.2,0.5,1
Thamnophilus_doliatus,68.46,71.7,26,1.485884101,27.03,0.4,1
Dysithamnus_mentalis,56.25,42.2,20,3.361702128,14.87,0.6,1
Formicivora_melanogaster,51.3,59,19.66,4.539130435,10.5,0.3,1
Formicivora_rufa,50.215,57.945,20.56,3.338530067,10.8,0.2,1
Pyriglena_leucoptera,78,72.9,30.3,3.155172414,28.8,0.3,1
Cercomacra_melanaria,73.4,87.9,27,2.51344086,19,0.3,1
Drymophila_malura,53.9,85.9,24.8,3.75,13,0.3,1
Herpsilochmus_rufimarginatus,48.75,55.2,16.7,3.455723542,10.58,0.7,1
Herpsilochmus_atricapillus,55.105,62,19.175,2.725822532,9.85,0.7,1
Herpsilochmus_longirostris,62.175,58.35,22.07,3.182608696,12.8,0.6,1
Corythopis_delalandi,64.36,55.89,23.15,3.180043384,15,0.1,1
Phylloscartes_paulista,45.43,47.14,13.82,3.075528701,7.48,0.5,1
Hemitriccus_margaritaceiventer,48.93,46.66,18.775,4.366322009,8.4,0.5,1
Myiornis_auricularis,37.565,31.69,12.205,3.808823529,5.3,0.5,1
Todirostrum_cinereum,42.13,43.6,19.4,4.607788595,6.29,0.5,1
Poecilotriccus_latirostris,46.595,42.27,17.8,4.102666667,8.1,0.3,1
Poecilotriccus_plumbeiceps,41.35,39.625,17.725,4.316987741,5.7,0.3,1
Platyrinchus_mystaceus,48.22,33,15.19,4.4,9.7,0.4,1
Tolmomyias_sulphurescens,65.295,59.8,19.5,3.378212974,14.3,0.6,1
Leptopogon_amaurocephalus,60.185,62.48,15.475,3.274487472,11.7,0.5,0.8
Phaeomyias_murina,54.6,51,18,3.204747774,10,0.5,0.6
Cnemotriccus_fuscatus,69.25,69.875,19.75,2.883882149,13.6,0.3,1
Lathrotriccus_euleri,59.7,51.3,13.95,2.84,11.33,0.3,1
Suiriri_suiriri,84.22,65.13,16.5,3.668032787,14.53,0.5,0.7
Myiopagis_caniceps,62.395,58.8,18.255,2.509473684,10.5,1,0.8
Phyllomyias_reiseri,57.85,59.4,15.36,3.186486486,7.48,1,0.7
Phyllomyias_burmeisteri,60.73,52.32,15.1,2.53164557,11.1,0.7,0.5
Elaenia_parvirostris,63.25,52.25,20.6,2.507407407,13.8,0.5,0.7
Elaenia_flavogaster,68.2,62,20.3,3.142857143,24.8,0.7,0.5
Elaenia_spectabilis,86.13,88,21.35,3.08,27.3,1,0.5
Camptostoma_obsoletum,54.4,46,16.37,2.848484848,8.1,0.8,0.7
Capsiempis_flaveola,50.65,53,17,2.669902913,7.7,0.7,1
Inezia_inornata,46.8,44.3,15.7,2.530120482,12,0.5,1
Serpophaga_subcristata,46,44.5,17.28,3.542319749,6.6,0.5,1
Colonia_colonus,82.7,58.6,14.65,2.234848485,18.3,0.6,1
Myiophobus_fasciatus,54.61,54.4,16.64,3.322727273,9.9,0.3,0.8
Euscarthmus_meloryphus,43.2,37.16,15.5,3.209549072,6.8,0.3,1
Myiozetetes_cayanensis,80.3,72.26,18.32,2.61732852,25.9,0.3,0.7
Myiozetetes_similis,89.4,65,20.7,2.986792453,28,0.5,0.5
Contopus_cinereus,69.8,62.6,15,2.624,11.6,0.6,1
Megarynchus_pitangua,118.5,88.17,19.7,2.95,69.91,0.8,0.8
Pitangus_sulphuratus,111.2,77,24.8,3.258547009,62.85,0.3,0.7
Myiodynastes_maculatus,104,81.2,11.7,2.631016043,43.2,0.7,0.7
Legatus_leucophaius,82.28,58.15,14.3,2.585454545,22.2,0.9,0.3
Tyrannus_melancholicus,111.15,94.5,20.7,3.203753351,37.4,0.8,1
Machetornis_rixosa,86.34,75.2,28.14,3.243440233,29.6,0,1
Myiarchus_swainsoni,88,75.6,23,4.010714286,25.1,0.3,0.7
Myiarchus_tyrannulus,93,87.92,22.15,3.853080569,35.45,0.2,0.8
Myiarchus_ferox,88.3,82.5,21.9,3.285714286,27.5,0.4,0.5
Sirystes_sibilator,91.9,81.55,20.75,2.847682119,32.3,1,0.8
